mem,bandwidth(MB/ms)
60227584,10.82
60293120,10.82
60358656,10.81
60424192,10.73
60489728,10.78
60555264,10.81
60620800,10.79
60686336,10.79
60751872,10.7
60817408,10.75
60882944,10.73
60948480,10.78
61014016,10.8
61079552,10.8
61145088,10.8
61210624,10.81
61276160,10.82
61341696,10.81
61407232,10.81
61472768,10.75
61538304,10.76
61603840,10.79
61669376,10.4
61734912,10.78
61800448,10.78
61865984,10.77
61931520,10.79
61997056,10.77
62062592,10.79
62128128,10.8
62193664,10.81
62259200,10.79
62324736,10.77
62390272,10.8
62455808,10.79
62521344,10.78
62586880,10.8
62652416,10.78
62717952,10.76
62783488,10.77
62849024,10.78
62914560,10.04
62980096,10.76
63045632,10.76
63111168,10.77
63176704,10.74
63242240,10.79
63307776,10.79
63373312,10.8
63438848,10.79
63504384,10.78
63569920,10.78
63635456,10.78
63700992,10.1
63766528,10.77
63832064,10.75
63897600,10.74
63963136,10.74
64028672,10.75
64094208,9.95
64159744,10.74
64225280,10.78
64290816,10.78
64356352,10.81
64421888,10.79
64487424,10.77
64552960,10.75
64618496,10.76
64684032,10.77
64749568,10.75
64815104,10.75
64880640,10.71
64946176,10.7
65011712,10.73
65077248,10.74
65142784,10.75
65208320,10.72
65273856,10.69
65339392,10.78
65404928,10.77
65470464,10.77
65536000,10.78
65601536,10.76
65667072,9.99
65732608,10.73
65798144,10.75
65863680,10.76
65929216,10.74
65994752,10.73
66060288,10.14
66125824,10.57
66191360,10.73
66256896,10.75
66322432,10.76
66387968,10.73
66453504,10.68
66519040,10.76
66584576,10.76
66650112,10.75
66715648,10.77
66781184,10.73
66846720,10.72
66912256,10.72
66977792,10.74
67043328,10.73
67108864,10.74
67174400,10.7
67239936,8.04
67305472,10.72
67371008,10.74
67436544,10.76
67502080,10.77
67567616,10.67
67633152,10.02
67698688,10.73
67764224,10.75
67829760,10.74
67895296,10.74
67960832,10.71
68026368,10.02
68091904,10.71
68157440,10.72
68222976,10.72
68288512,10.72
68354048,10.72
68419584,10.07
68485120,10.72
68550656,10.74
68616192,10.73
68681728,10.74
68747264,10.73
68812800,10.72
68878336,10.73
68943872,10.73
69009408,10.74
69074944,10.72
69140480,9.99
69206016,10.69
69271552,10.71
69337088,10.72
69402624,10.73
69468160,10.71
69533696,10.72
69599232,10.71
69664768,10.75
69730304,10.73
69795840,10.73
69861376,10.71
69926912,10.72
69992448,10.74
70057984,10.73
70123520,10.72
70189056,10.69
70254592,10.69
70320128,10.7
70385664,10.73
70451200,10.73
70516736,10.73
70582272,10.71
70647808,9.94
70713344,10.74
70778880,10.74
70844416,10.75
70909952,10.72
70975488,10.73
71041024,10.72
71106560,10.72
71172096,10.73
71237632,10.71
71303168,10.7
71368704,10.0
71434240,10.68
71499776,10.71
71565312,10.72
71630848,10.71
71696384,10.72
71761920,10.69
71827456,10.73
71892992,10.73
71958528,10.72
72024064,10.7
72089600,10.02
72155136,10.7
72220672,10.71
72286208,10.69
72351744,10.69
72417280,10.68
72482816,10.7
72548352,10.72
72613888,10.71
72679424,10.72
72744960,10.73
72810496,10.38
72876032,10.72
72941568,10.71
73007104,10.72
73072640,10.71
73138176,10.68
73203712,10.62
73269248,10.68
73334784,10.69
73400320,10.69
73465856,10.66
73531392,10.67
73596928,10.68
73662464,10.72
73728000,10.71
73793536,10.72
73859072,10.72
73924608,10.72
73990144,10.71
74055680,10.72
74121216,10.7
74186752,10.69
74252288,10.17
74317824,10.69
74383360,10.69
74448896,10.67
74514432,10.68
74579968,10.66
74645504,10.65
74711040,10.71
74776576,10.71
74842112,10.7
74907648,10.68
74973184,10.04
75038720,10.29
75104256,10.53
75169792,10.23
75235328,9.85
75300864,9.78
75366400,10.55
75431936,10.49
75497472,10.66
75563008,10.64
75628544,10.48
75694080,10.68
75759616,10.71
75825152,10.7
75890688,10.69
75956224,10.32
76021760,10.38
76087296,10.48
76152832,10.68
76218368,10.69
76283904,10.69
76349440,10.05
76414976,10.68
76480512,10.7
76546048,10.62
76611584,10.67
76677120,10.66
76742656,10.67
76808192,10.69
76873728,10.71
76939264,10.7
77004800,10.64
77070336,10.7
77135872,10.7
77201408,10.7
77266944,10.7
77332480,10.68
77398016,10.05
77463552,10.69
77529088,10.69
77594624,10.67
77660160,10.66
77725696,10.68
77791232,10.68
77856768,10.69
77922304,10.69
77987840,10.59
78053376,10.33
78118912,10.48
78184448,10.58
78249984,10.65
78315520,10.68
78381056,10.26
78446592,7.91
78512128,10.29
78577664,10.37
78643200,10.43
78708736,10.55
78774272,10.61
78839808,10.65
78905344,10.65
78970880,10.66
79036416,10.66
79101952,10.68
79167488,10.66
79233024,10.68
79298560,10.65
79364096,10.68
79429632,10.68
79495168,10.65
79560704,10.65
79626240,10.64
79691776,10.67
79757312,10.65
79822848,10.66
79888384,10.68
79953920,10.63
80019456,10.68
80084992,10.69
80150528,10.62
80216064,10.59
80281600,10.65
80347136,10.68
80412672,10.66
80478208,10.66
80543744,10.68
80609280,10.64
80674816,10.67
80740352,10.65
80805888,10.66
80871424,10.68
80936960,10.66
81002496,10.69
81068032,10.67
81133568,10.67
81199104,10.63
81264640,10.66
81330176,10.68
81395712,10.68
81461248,10.67
81526784,10.66
81592320,10.64
81657856,10.66
81723392,10.65
81788928,10.65
81854464,10.65
81920000,10.11
81985536,10.66
82051072,10.66
82116608,10.67
82182144,10.7
82247680,10.66
82313216,10.69
82378752,10.67
82444288,10.69
82509824,10.66
82575360,10.55
82640896,10.67
82706432,10.66
82771968,10.66
82837504,10.66
82903040,10.66
82968576,10.65
83034112,10.68
83099648,10.68
83165184,10.66
83230720,10.65
83296256,10.66
83361792,10.67
83427328,10.68
83492864,10.68
83558400,10.63
83623936,10.67
83689472,10.66
83755008,10.67
83820544,10.64
83886080,10.65
83951616,10.17
84017152,10.66
84082688,10.67
84148224,10.66
84213760,10.67
84279296,10.66
84344832,10.68
84410368,10.67
84475904,10.67
84541440,10.67
84606976,10.65
84672512,10.66
84738048,10.67
84803584,10.66
84869120,10.12
84934656,10.61
85000192,10.64
85065728,10.66
85131264,10.64
85196800,10.56
85262336,10.65
85327872,10.68
85393408,10.68
85458944,10.69
85524480,10.12
85590016,10.64
85655552,10.66
85721088,10.66
85786624,10.64
85852160,10.17
85917696,10.53
85983232,10.41
86048768,10.63
86114304,10.64
86179840,10.48
86245376,10.43
86310912,10.3
86376448,10.39
86441984,10.03
86507520,10.5
86573056,10.58
86638592,10.46
86704128,10.02
86769664,10.31
86835200,10.33
86900736,10.37
86966272,10.44
87031808,10.43
87097344,10.5
87162880,10.52
87228416,10.49
87293952,10.47
87359488,10.35
87425024,10.36
87490560,10.47
87556096,10.4
87621632,10.44
87687168,10.31
87752704,10.62
87818240,10.48
87883776,10.49
87949312,10.35
88014848,9.84
88080384,10.47
88145920,10.61
88211456,10.63
88276992,10.64
88342528,10.65
88408064,10.62
88473600,10.67
88539136,10.66
88604672,10.64
88670208,10.64
88735744,10.64
88801280,10.65
88866816,10.65
88932352,10.64
88997888,10.62
89063424,10.64
89128960,10.62
89194496,10.6
89260032,10.53
89325568,10.47
89391104,10.55
89456640,10.6
89522176,10.63
89587712,10.64
89653248,10.66
89718784,10.64
89784320,10.63
89849856,10.63
89915392,10.65
89980928,10.65
90046464,10.67
90112000,10.63
90177536,10.63
90243072,10.64
90308608,10.62
90374144,10.62
90439680,10.23
90505216,10.59
90570752,10.65
90636288,10.64
90701824,10.64
90767360,10.65
90832896,10.65
90898432,10.06
90963968,10.5
91029504,9.07
91095040,10.45
91160576,10.53
91226112,10.59
91291648,10.59
91357184,10.62
91422720,10.64
91488256,10.49
91553792,10.37
91619328,10.62
91684864,10.59
91750400,10.66
91815936,10.65
91881472,10.62
