mem,bandwidth(MB/ms)
35454976,10.67
35520512,10.69
35586048,10.65
35651584,10.66
35717120,10.68
35782656,10.66
35848192,10.7
35913728,10.71
35979264,10.7
36044800,10.73
36110336,10.73
36175872,10.73
36241408,10.73
36306944,10.68
36372480,10.67
36438016,10.69
36503552,10.68
36569088,10.66
36634624,10.65
36700160,10.67
36765696,10.66
36831232,10.68
36896768,10.7
36962304,10.7
37027840,10.72
37093376,10.73
37158912,10.74
37224448,10.69
37289984,10.69
37355520,10.71
37421056,10.69
37486592,10.67
37552128,10.68
37617664,10.65
37683200,10.66
37748736,10.66
37814272,10.65
37879808,9.54
37945344,10.67
38010880,10.68
38076416,10.69
38141952,10.73
38207488,10.7
38273024,10.71
38338560,10.69
38404096,10.69
38469632,10.62
38535168,10.66
38600704,10.68
38666240,10.67
38731776,10.64
38797312,10.65
38862848,10.63
38928384,10.65
38993920,10.67
39059456,10.69
39124992,9.63
39190528,10.69
39256064,8.91
39321600,10.7
39387136,10.68
39452672,10.67
39518208,10.67
39583744,10.65
39649280,10.65
39714816,10.62
39780352,10.62
39845888,10.62
39911424,10.63
39976960,10.63
40042496,10.64
40108032,10.66
40173568,10.65
40239104,9.48
40304640,10.67
40370176,10.68
40435712,10.66
40501248,10.66
40566784,10.65
40632320,10.64
40697856,10.63
40763392,10.62
40828928,10.6
40894464,9.57
40960000,10.62
41025536,10.61
41091072,10.63
41156608,10.62
41222144,10.64
41287680,10.65
41353216,10.65
41418752,10.64
41484288,10.63
41549824,10.62
41615360,10.65
41680896,10.62
41746432,10.26
41811968,9.58
41877504,10.1
41943040,10.32
42008576,9.49
42074112,9.65
42139648,9.97
42205184,10.34
42270720,10.48
42336256,10.53
42401792,10.59
42467328,10.57
42532864,10.58
42598400,10.58
42663936,10.58
42729472,10.59
42795008,10.57
42860544,10.58
42926080,10.57
42991616,10.55
43057152,10.56
43122688,10.56
43188224,10.56
43253760,10.6
43319296,10.6
43384832,10.63
43450368,10.61
43515904,10.62
43581440,10.56
43646976,10.48
43712512,9.56
43778048,10.58
43843584,10.57
43909120,10.58
43974656,10.56
44040192,10.55
44105728,10.41
44171264,10.46
44236800,9.77
44302336,10.56
44367872,10.59
44433408,10.61
44498944,10.6
44564480,10.54
44630016,10.56
44695552,10.55
44761088,10.57
44826624,10.55
44892160,10.57
44957696,10.56
45023232,10.55
45088768,10.54
45154304,10.53
45219840,10.54
45285376,10.44
45350912,10.55
45416448,10.57
45481984,10.58
45547520,10.58
45613056,10.54
45678592,10.56
45744128,10.55
45809664,10.53
45875200,10.55
45940736,10.55
46006272,10.53
46071808,10.52
46137344,10.52
46202880,10.52
46268416,10.53
46333952,9.74
46399488,10.55
46465024,10.57
46530560,10.56
46596096,10.55
46661632,10.55
46727168,10.54
46792704,10.54
46858240,9.71
46923776,10.53
46989312,10.52
47054848,10.52
47120384,10.49
47185920,10.5
47251456,10.52
47316992,10.53
47382528,10.49
47448064,10.53
47513600,10.55
47579136,8.24
47644672,10.55
47710208,10.53
47775744,10.54
47841280,10.53
47906816,10.53
47972352,10.51
48037888,10.51
48103424,10.51
48168960,10.51
48234496,10.49
48300032,10.47
48365568,10.5
48431104,10.52
48496640,10.52
48562176,10.52
48627712,10.54
48693248,10.51
48758784,10.47
48824320,9.6
